#|O| #Exhaust #h^m #RHW #Zhu/Givan
1.0 1.48825 1.504 1.491 1.48725
1.3333333333333333 1.8087499999999999 1.8325 1.86275 1.81775
1.8170731707317074 9.56025 24.26475 9.44025 9.4605
1.9238095238095239 5.85375 5.907500000000001 5.877 5.86225
2.0 1.4985 1.50975 1.4735 1.50075
2.0714285714285716 4.881 6.5847500000000005 4.82325 4.83475
2.607142857142857 6.10125 11.0205 6.04875 6.03775
2.7973856209150325 4.216749999999999 9.21625 4.221 4.232749999999999
2.823529411764706 5.4225 6.7597499999999995 5.4055 5.4075
2.9285714285714284 4.158250000000001 6.882499999999999 4.1187499999999995 4.14975
3.0 4.83925 6.143750000000001 4.8309999999999995 4.814500000000001
3.130952380952381 5.5145 36.69975 5.36675 5.397
3.1785714285714284 4.506 54.39175 4.2555000000000005 4.29675
3.3333333333333335 1.752 1.7605 1.76575 1.76725
3.9642857142857144 5.311 5.911 5.3252500000000005 5.2755
4.0 1.8295 1.86625 1.84925 1.8202500000000001
4.466666666666667 1.525 1.50725 1.4715000000000003 1.489
4.476190476190476 5.42025 5.442 5.4472499999999995 5.4015
4.930894308943089 9.7385 24.602750000000004 9.62025 9.63725
5.0 1.8265 1.827 1.8175000000000001 1.81475
5.4 1.34175 1.35675 1.3370000000000002 1.3305
5.428571428571429 4.7795000000000005 6.45125 4.721 4.731
5.714285714285714 3.72325 49.655249999999995 3.666 3.6925
6.704761904761905 6.8525 6.90425 6.86 6.87425
6.75 5.3995 9.812 5.3555 5.354
6.964285714285714 4.28725 10.08125 4.24425 4.25825
7.466666666666667 1.7574999999999998 1.76575 1.76225 1.7782499999999999
7.490196078431373 4.0865 8.989 4.11675 4.11725
7.662601626016261 8.001 26.374499999999998 7.918000000000001 7.92975
7.678571428571429 4.208 6.937749999999999 4.1675 4.13325
7.928571428571429 4.7525 6.084 4.75925 4.746499999999999
8.013071895424837 5.30175 6.6114999999999995 5.2865 5.29025
8.607142857142858 5.269 34.853 5.11975 5.14825
8.714285714285714 4.575 6.197 4.5685 4.5687500000000005
8.821428571428571 4.542 50.50325 4.28575 4.34075
9.552380952380952 7.0365 7.07475 7.0505 7.029
10.821428571428571 6.455749999999999 11.585749999999999 6.4392499999999995 6.45425
11.101626016260163 7.8385 23.148 7.73675 7.75725
11.142857142857142 5.05625 5.63725 5.06325 5.026
11.178571428571429 4.967 11.28625 4.9065 4.9595
12.019607843137255 5.42225 11.36225 5.43 5.4555
12.285714285714286 4.814500000000001 6.535 4.780749999999999 4.774
12.357142857142858 3.9502499999999996 6.51075 3.9250000000000003 3.92975
12.75 4.55875 5.78925 4.5615000000000006 4.539
13.066666666666666 6.8607499999999995 6.92825 6.9254999999999995 6.86825
13.071895424836601 6.99725 8.6905 6.988 7.01175
14.035714285714286 7.183 44.978750000000005 6.99025 7.0264999999999995
14.071428571428571 5.885249999999999 66.20025 5.55875 5.61275
14.5 9.856 28.631 9.774 9.80675
15.214285714285714 6.715250000000001 12.06325 6.643750000000001 6.657
15.642857142857142 5.15025 11.825 5.14375 5.1655
16.0 3.57475 46.6425 3.52225 3.5549999999999997
16.892857142857142 5.013249999999999 6.7067499999999995 4.98525 4.9445
17.15686274509804 4.894500000000001 10.4565 4.92675 4.9255
17.357142857142858 4.10375 6.7865 4.0725 4.055
17.964285714285715 4.761 6.078 4.75525 4.74725
18.071428571428573 5.00725 5.5805 5.02975 4.9985
18.326797385620914 6.10225 7.570749999999999 6.086 6.08675
19.714285714285715 5.90275 39.235 5.7437499999999995 5.788
19.857142857142858 4.74175 57.72425 4.48575 4.5585
21.142857142857142 6.69725 12.021249999999998 6.67875 6.7155
21.714285714285715 5.172000000000001 11.89275 5.15975 5.171250000000001
21.83606557377049 5.046 10.042250000000001 5.086250000000001 5.09275
24.214285714285715 4.24025 7.0505 4.253 4.226
24.40983606557377 6.585 8.033 6.622 6.59725
24.928571428571427 4.9985 6.2932500000000005 4.94025 5.01125
25.321428571428573 5.2605 5.8445 5.2475000000000005 5.24125
26.214285714285715 4.93725 59.830749999999995 4.872249999999999 4.91325
27.428571428571427 7.074499999999999 43.894999999999996 6.92075 6.898
27.714285714285715 5.95875 65.7985 5.680999999999999 5.7059999999999995
35.57142857142857 5.492000000000001 6.01875 5.4535 5.47225
36.857142857142854 3.94175 52.2095 3.88075 3.921
51.892857142857146 4.9135 59.1125 4.765 4.922499999999999
